,Notebooking,Origami (Figure),Origami (Modular),Paper Craft,Paper Flight,Popsicle Sticks,Fiber Art,Hands-On Science,3D Printing 101 (Prusa Mini),Vinyl Cutting (Cameo),Laser Cutting 101 (Muse),Digital Embroidery 101 (Brother PE800),Electronics 101,Mechatronics,Engineering 101,Turtle Stitch,Block Coding 101 (scratch),Pygamer,Biomimicry,Lego,Pipe Cleaners,3D Pen
White,Notebook | https://docs.google.com/document/d/1pR6EuSTzPdrjEb9VxxsBYX7IazxlkjfPehHYuQlSgCM/edit?usp=sharing,1. Make a Square Sheet of Paper: Instructions | https://docs.google.com/document/d/1CTuENjsKcSaLcZ0kOcMBGBpEvwTz58j0/edit,1. Make a Square Sheet of Paper: Instructions | https://docs.google.com/document/d/1CTuENjsKcSaLcZ0kOcMBGBpEvwTz58j0/edit,Simple Stand-Up Cat: Instructions | https://drive.google.com/file/d/1FIz1vNG9k89cLokLkq1VQYo6z3GPGxTD/view,Basic Paper Airplane: Instructions | https://www.origamiway.com/plane-dart.shtml,Popsicle Stick Heroes: Instructions | https://www.instructables.com/Popsicle-Stick-Superheros/,Pumpkin Pom-Pom: Instructions | https://www.instructables.com/Easy-Pumpkin-Pom-Pom-With-Your-Hand/,Egg Carton Nursery | https://www.pbs.org/parents/crafts-and-experiments/grow-seedlings-in-an-egg-carton,1. Design a Mesh Model in Sculptris | https://drive.google.com/open?id=1-px_dgqD27YoiMfLxrYysuD_sWbwHZ1FkKEOCjB0bJw,Introduction to Silhouette Studio | https://docs.google.com/document/d/1xWcqfcxSU7U8cQhd8wbiB2uzbfazvSmO/edit,Muse Laser Cutter Manual** | https://2882208.fs1.hubspotusercontent-na1.net/hubfs/2882208/Muse%20Core%20Manual%201-23.pdf,Hooping Fabric for Embroidery Machine | https://docs.google.com/document/d/19TWrhT59vthZ-x71_YN8poeZSdChET5S/edit,1. TinkerCAD Setup | https://docs.google.com/document/d/1eOUcYsAs_NhbfDqq8WUAjei6RKpMsr62/edit,Gluetorial Sampler | https://docs.google.com/document/d/1Ut_yKCfCMPef_R_wOPdUl2SlnA50EHWe/edit,What is Engineering? | https://www.youtube.com/watch?v=btGYcizV0iI&list=PL8dPuuaLjXtO4A_tL6DLZRotxEb114cMR&t=0s,Create TurtleStitch Account | https://docs.google.com/document/d/1zqNidmzZgIfzBh2yuugQ50Agv4yEVt4N/edit,Getting Started | https://docs.google.com/document/d/13h4EK2Rpu6Km96zMcQBqSIBJJVBXsei6/edit,"Get a Pygamer, USB cord, and LiOn Battery",,,Pipe Cleaner People | https://www.youtube.com/watch?v=zVkDp9sIjsU,1. Introduction | https://docs.google.com/document/d/1erM-dn8OncLACIcfSAgK9LGNiq96H-6OdDo398lAU5Y/edit?usp=sharing
,,1. Make a Square Sheet of Paper: Video | https://www.youtube.com/watch?v=_5pWN0O2i2I,1. Make a Square Sheet of Paper: Videos | https://www.youtube.com/watch?v=_5pWN0O2i2I,Simple Stand-Up Cat: Video | https://youtu.be/6L_gQ1-Tno8?feature=shared,Basic Paper Airplane: Video | https://youtu.be/veyZNyurlwU?feature=shared,Popsicle Stick Heroes: Video | https://www.youtube.com/watch?v=KnpnVe5uxhw,Pumpkin Pom-Pom: Video | https://www.youtube.com/watch?v=oi2NBGKAkH4,Counting Over 1000 Using Your Fingers | https://www.youtube.com/watch?v=UixU1oRW64Q,1. Design a Mesh Model on the Web | https://docs.google.com/document/d/14Lbh7DkWVNFkcI0WmlF898Ifk5mKU0IWm6ZgqRxkWF4/edit?usp=sharing,How to Operate a Cameo 3 Vinyl Cutter | https://docs.google.com/document/d/1-RKGi-l_QMrycU-2nXIYaGFFazrayhTo/edit,Operate the Muse Laser Cutter | https://docs.google.com/document/d/1CFgD1smsIa1M34kqKHDH5plTjC3YVqDN/edit,,2. Simple Lamp | https://docs.google.com/document/d/1t6vEsXuo7HqfO3QZWdquD8A6IVD0W4ne/edit,,,Start | https://docs.google.com/drawings/d/1-uHPoLC0UX1xvWMZKjSxvbsvp-k7fOMVudr4jzaf5F0/edit?usp=sharing,,"(optional) Sign into MakeCode Using your Clever, Microsoft, or Google Account | https://arcade.makecode.com/",Make a note book to record observations and notes | https://docs.google.com/document/d/1pR6EuSTzPdrjEb9VxxsBYX7IazxlkjfPehHYuQlSgCM/edit?usp=sharing,Build the tallest tower of stacked bricks you can,,
,,,,,Paper Helicopter: Instructions | https://www.origamiway.com/how-to-make-a-paper-helicopter.shtml,Popsicle Stick Playing Cards: Instructions | https://www.instructables.com/Popsicle-Stick-Playing-Cards/,,,2. Slice a Model with Prusa Slicer | https://docs.google.com/document/d/1upXN7Sn65urau1wNAFDMXtyxqXqN8KoHL3yEZmVe_bE/edit?usp=sharing,How to Operate a Cameo 4 Vinyl Cutter | https://docs.google.com/document/d/1ihm51BJbhbJg2W8rZuadxG_umpEW2MvX/edit,Fab Lab Fridge Magnet Test | https://docs.google.com/document/d/1hbh0TUZPwn0uB8zmLZwz4rizc4T6Y1c9/edit,,,,,Comment | https://docs.google.com/drawings/d/1x1SmrL5EtZ5Yzwd9zbRAVJFq465e96Xh7k0Cx1G-Jw0/edit?usp=sharing,,,,,Pipe Cleaner Rings | https://www.youtube.com/watch?v=xX58LNA6wu4,
,,2. Make a Whale: Instructions | https://origami.me/whale/,,,Paper Helicopter: Video | https://youtu.be/zTakrjE9yCo?feature=shared,Popsicle Stick Playing Cards: Video | https://youtu.be/4vYWuCej_Rg?feature=shared,Cardboard Yarn Letter: Instructions | https://www.instructables.com/Cardboard-Yarn-Letter/,,3. Operating a PrusaMini | https://docs.google.com/document/d/1NUxdjrleygNWIulcpqfp5QnaQXQO5-6ylX8NuEyR6Wk/edit?usp=sharing,,,,,,,Line | https://docs.google.com/drawings/d/1qQT8kosxr7BZy6vssIXgCgH3bNfsLgRUAOBcS6idk-U/edit?usp=sharing,,,,,,2. Your Name | https://docs.google.com/document/d/19JXLtQG7nXubzQjywlamAlZ3v3UBPWrHYinv6TQ9KKs/edit?usp=sharing
,,2. Make a Whale :Videos | https://www.youtube.com/watch?v=8dLe5dS4b60,,,,,Cardboard Yarn Letter: Video | https://www.youtube.com/watch?v=RIrDDS_DE7E,,,,,,,,,Embroidery (Stitch Types) | https://docs.google.com/drawings/d/1i3q6qMgaayyaLjo2IC1hQa49hoxbAqSzq4SMCsXNRMU/edit?usp=sharing,,,,,,
,,,,,,,,,,,,,,,,File Format | https://docs.google.com/drawings/d/1nLwpzhCSMjUBZnhaBLIrXrPoBfRqU3i23w159QC81as/edit?usp=sharing,,,,,,
Yellow,,,,,,,Crochet Chain Bracelet: Instructions | https://www.crochetleaf.com/chain-stitch-bracelet.html,,,,,,,,,Dimensions,,,,,,
,,,,,,,Crochet Chain Bracelet: Video | https://www.youtube.com/watch?v=R49LOKSHw6c,,,,,,,,,,,,,,,
,Written Notes | https://drive.google.com/open?id=11-4Olb4yIMDuacq34q_M2-NCTFGE8F2BTXxTuiKSPAc,Angel Fish: Instructions | http://origami.me/angelfish/,Water Bomb Base: Instructions | https://docs.google.com/document/d/1S-UltC3lh4c3PVYMkcn3Qb50i0pxZzjc/edit,Jumping Frog: Instructions | https://www.origamiway.com/easy-origami-frog/,Nakamura Lock Paper Airplane: Instructions | https://www.origamiway.com/plane-nakamura-lock.shtml,Popsicle Stick Coaster: Instructions | https://www.instructables.com/Popsicle-Stick-Coaster/,Yarn Art: Instructions | https://www.instructables.com/Yarn-Art/,Weather Station | https://drive.google.com/file/d/1O0bT2-sGLiS1GLWVZcK0TnYrlvv6KgzX/view?usp=drive_link,1. TinkerCAD Setup | https://docs.google.com/document/d/1nZVrv83v7UY9wUDPerOByM0jOgnmNomrNawanWTDaIM/edit?usp=sharing,,,,Cu Tape Torch | https://drive.google.com/file/d/0B66Qe-o5qktELTBNUkVMZ3VURlE/view?usp=sharing&resourcekey=0-oVcVrUPm1xeobeRPUknBww,Slider Crank Diagram | https://docs.google.com/presentation/d/16HNDgOB5AO-L7WBvDG6eI5t304hz-fNXTQxHrFqQlZ8/edit?usp=sharing,Build a Straw Rocket | https://www.jpl.nasa.gov/edu/learn/project/make-a-straw-rocket/,Square | https://docs.google.com/drawings/d/1sXr-WP-nuB0_w2C3fjDDId3xprYm8h2tqNWrs5FG5Go/edit?usp=sharing,Creating Animations | https://docs.google.com/document/d/14S33M8FEPCjVKApkH58kDCXhohkgXOFA/edit,Create a chasing Pizza Game | https://arcade.makecode.com/tutorials/chase-the-pizza,Make a paper helicopter | https://www.jpl.nasa.gov/edu/resources/project/make-a-paper-mars-helicopter-2/,Build a house using interlocking bricks | https://www.wikihow.com/Build-a-LEGO-House,Fish | https://www.youtube.com/watch?v=bwO7NZpR8pw,Basic Shape Outlines | https://docs.google.com/document/d/1HAyzb1gmbR-r82TWfSrvEerTvJH4CRrVAVd9QEviOxY/edit?usp=sharing
,,Angel Fish: Video | https://www.youtube.com/watch?v=NxUV-Rao4TM,Water Bomb Base: Video | https://www.youtube.com/watch?v=yl1rjHml2Gc,Jumping Frog: Video | https://youtu.be/oi7oitREUBQ?feature=shared,Nakamura Lock Paper Airplane: Video | https://youtu.be/P4J4Cj2HcQU?feature=shared,Popsicle Stick Coaster: Video | https://youtu.be/sTrp37Dv4hI?feature=shared,Yarn Art: Video | https://www.youtube.com/watch?v=_WQGT7DBeEM,,2. Intro to TinkerCAD | https://docs.google.com/document/d/1Abz3T5SNf5l3LclQbwUUS0Vc3Dx8z3_yeSVAjtm5QHM/edit?usp=sharing,Make a Name Decal | https://docs.google.com/document/d/14xUjEdv4Ih1zdgg8OBxuz8Hnm6tmL_vb/edit,Name Tag | https://docs.google.com/document/d/1dxPYF_T5Pq23CgZOXMrVNRpgbaIYGmwt/edit,Threading the PE800 (Video) | https://youtu.be/3voxF1cbyS4?t=103,Paper Parallel Circuit | https://docs.google.com/document/d/1LhzaRdE7mulAwX0aXnoeS19P7CnkcKsy/edit,Slider Crank Assembly Pics | https://photos.app.goo.gl/hw9x96uq7vUj682H9,,Circle | https://docs.google.com/drawings/d/1GVQNEhL23_O-mgRGsQMmUZT0C6ET5dcKclpbZSKftR0/edit?usp=sharing,Creating Art | https://docs.google.com/document/d/1JvQ0ECFePFdoNw_wCM5utE-WBQTGwqRW/edit,,,,Pipe Cleaner Flower | https://www.instructables.com/Pipe-Cleaner-Flower-Mothers-Day-Craft/,
,,,,,,,Yarn Dolls: Instructions | https://www.instructables.com/Yarn-Dolls-1/,Mind Reader | https://drive.google.com/file/d/1BAkhRoxQF9QVhZEfiQyR8pI1HumePlen/view?usp=drive_link,,,Keychain | https://docs.google.com/document/d/1W617q1dH_ef_9ndTik_k4LD4Yff653xU/edit,,Cu Tape Torch Instructable w/ video | https://www.instructables.com/Circuit-Torch/,,,Jump Stitch | https://docs.google.com/drawings/d/1Ai9GZJPne_Y2klYSPBWYpv8NQBClTw0PjSCNaWUiZAg/edit?usp=sharing,Creating Music | https://docs.google.com/document/d/1qVlWeijstxURBSt492prJrz8iliEZYG0/edit,,Paper Helicopter Video | https://youtu.be/zTakrjE9yCo?feature=shared,,,
,,Cat Face: Instructions | http://origami.me/cat-face/,,Rabbit: Instructions | https://drive.google.com/file/d/1NomLFoQW1nE5lvVgJl0L6miMQMjVfjdN/view?usp=sharing,,Exploding Popsicle Sticks: Instructions | https://www.instructables.com/Popsicle-Stick-Bomb-2/,Yarn Dolls: Video | https://www.youtube.com/watch?v=bDGdD21y3nI,OR Mind Reader Video! (Super helpful!) | https://youtu.be/cT8sQiUJipg?si=KCTKLWDMNlDT8OVB,,,Coaster | https://docs.google.com/document/d/1hdf0m-t-J9EF1vZiVz8-334qMj6Cln7o/edit,,,,,,Creating Games | https://docs.google.com/document/d/1Sz4EbNaD_G7nJi2h7BgZcgXmG7Fm--mz/edit,,,,,FIx a 3D Print | https://docs.google.com/document/d/1yS_LKKFY341gP8LiCus3zHDoCF7BvIg3tzqDRYIU0iM/edit?usp=sharing
,,Cat Face: Video | https://www.youtube.com/watch?v=lLmtLKVMoAs,,Rabbit: Video | https://youtu.be/2DfFoVoeYow?feature=shared,,Exploding Popsicle Sticks: Video | https://youtu.be/GQyGDKklVPU?feature=shared,,,,,Tic-Tac-Toe Set | https://docs.google.com/document/d/1drz-Kdm0iqL8p7vVZE50z6SV-4EK_34A/edit,,,,,,Creating Stories | https://docs.google.com/document/d/1HPrmWclfelbzwD_eTH4RxPOW-1E1Vb0A/edit,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,
,,Simple Frog: Instructions | https://www.origamiway.com/easy-origami-frog.shtml,,,,,,,,,,,,,,,,,,,,
,,Simple Frog: Video | https://www.youtube.com/watch?v=1kZjq8f8Mpo,,,,,,,Lithophane in FlashPrint | https://drive.google.com/open?id=13ZW3JMHMBOVJriVCoxsfjZ0r6-7dP7ujKPQG5CWSI-g,,,,,,,,,,Make a cardbaord claw hand,Design a building for a Base on Mars,,
